Sentence1,Sentence2
The frog jumped into the pond.,The pond was jumped into by the frog.
The toad hopped across the path.,The path was hopped across by the toad.
The fish swam in the river.,The river was swum in by the fish.
The whale sang a song.,A song was sung by the whale.
The dolphin leaped from the water.,The water was leaped from by the dolphin.
The shark attacked the seal.,The seal was attacked by the shark.
The octopus hid in the rocks.,The rocks were hidden in by the octopus.
The crab scuttled sideways.,Sideways scuttling was done by the crab.
The lobster cooked in the pot.,The pot contained the cooking lobster.
The shrimp swam quickly.,Quick swimming was performed by the shrimp.
The clam opened its shell.,The shell was opened by the clam.
The oyster produced a pearl.,A pearl was produced by the oyster.
The starfish clung to the rock.,The rock was clung to by the starfish.
The seagull flew above the ocean.,The ocean was flown over by the seagull.
The penguin waddled on the ice.,The ice was waddled on by the penguin.
The polar bear hunted the seal.,The seal was hunted by the polar bear.
The walrus rested on the ice floe.,The ice floe was rested on by the walrus.
The reindeer pulled the sleigh.,The sleigh was pulled by the reindeer.
The husky pulled the sled.,The sled was pulled by the husky.
The cat slept on the couch.,The couch had the cat sleeping on it.
The bird flew away.,Flight was taken by the bird.
The dog barked loudly.,A loud bark was made by the dog.
The sun set in the west.,The west received the setting sun.
The moon rose in the east.,The east yielded the rising moon.
The stars shone brightly.,Bright shining was performed by the stars.
The wind blew softly.,Soft blowing was produced by the wind.
The rain fell gently.,Gentle falling was seen in the rain.
The snow covered the ground.,The ground was covered by snow.
The ice melted slowly.,Slow melting was undergone by the ice.
The leaves changed color.,Color change occurred in the leaves.
The flowers bloomed beautifully.,Beautiful blooming occurred in the flowers.
The trees grew tall.,Tall growth was achieved by the trees.
The grass grew green.,Green growth appeared in the grass.
The birds sang sweetly.,Sweet singing was produced by the birds.
The children played happily.,Happy playing was done by the children.
The adults worked diligently.,Diligent work was performed by the adults.
The artist sculpted a statue.,A statue was sculpted by the artist.
The baker baked a cake.,A cake was baked by the baker.
The musician played the piano.,The piano was played by the musician.
The dancer performed a ballet.,A ballet was performed by the dancer.
The singer belted out a song.,A song was belted out by the singer.
The chef prepared a delicious meal.,A delicious meal was prepared by the chef.
The carpenter built a house.,A house was built by the carpenter.
The plumber fixed the leak.,The leak was fixed by the plumber.
The electrician wired the house.,The house was wired by the electrician.
The painter painted the walls.,The walls were painted by the painter.
The gardener planted flowers.,Flowers were planted by the gardener.
The writer penned a short story.,A short story was penned by the writer.
The teacher taught the class.,The class was taught by the teacher.
The doctor diagnosed the illness.,The illness was diagnosed by the doctor.
The nurse cared for the patient.,The patient was cared for by the nurse.
The mechanic repaired the engine.,The engine was repaired by the mechanic.
The scientist conducted an experiment.,An experiment was conducted by the scientist.
The engineer designed a bridge.,A bridge was designed by the engineer.
The architect planned the building.,The building was planned by the architect.
The lawyer presented the case.,The case was presented by the lawyer.
The judge ruled on the matter.,The matter was ruled on by the judge.
The jury deliberated the verdict.,The verdict was deliberated by the jury.
The witness gave testimony.,Testimony was given by the witness.
The detective solved the mystery.,The mystery was solved by the detective.
The thief escaped from prison.,Prison was escaped from by the thief.
The police investigated the crime.,The crime was investigated by the police.
The firefighters extinguished the fire.,The fire was extinguished by the firefighters.
The paramedics treated the injured.,The injured were treated by the paramedics.
The rescuers saved the victims.,The victims were saved by the rescuers.
A storm ravaged the coastline.,The coastline was ravaged by a storm.
The sun warmed the earth.,The earth was warmed by the sun.
The rain refreshed the plants.,The plants were refreshed by the rain.
The wind blew fiercely.,Fierce blowing was caused by the wind.
The snow covered the mountains.,The mountains were covered by snow.
The ice melted rapidly.,Rapid melting occurred in the ice.
The river flowed swiftly.,Swift flowing was performed by the river.
The birds built their nests.,Nests were built by the birds.
The animals migrated south.,Southward migration was performed by the animals.
The flowers bloomed brightly.,Bright blooming was showcased by the flowers.
The trees swayed gently.,Gentle swaying was demonstrated by the trees.
The leaves rustled in the breeze.,The breeze rustled the leaves.
The children played hide and seek.,Hide and seek was played by the children.
The dog chased its tail.,Its tail was chased by the dog.
The cat napped peacefully.,Peaceful napping was done by the cat.
The birds sang cheerfully.,Cheerful singing was performed by the birds.
The fish swam gracefully.,Graceful swimming was done by the fish.
The clouds drifted lazily.,Lazy drifting was done by the clouds.
The stars twinkled brightly.,Bright twinkling was displayed by the stars.
The moon illuminated the night.,The night was illuminated by the moon.
The sun rose in the east.,The east gave rise to the sun.
The artist painted a masterpiece.,A masterpiece was painted by the artist.
The writer created a compelling story.,A compelling story was created by the writer.
The musician composed a symphony.,A symphony was composed by the musician.
The dancer choreographed a routine.,A routine was choreographed by the dancer.
The singer recorded an album.,An album was recorded by the singer.
The chef invented a new dish.,A new dish was invented by the chef.
The carpenter crafted a beautiful chair.,A beautiful chair was crafted by the carpenter.
The programmer wrote a new program.,A new program was written by the programmer.
The teacher graded the exams.,The exams were graded by the teacher.
The doctor prescribed medicine.,Medicine was prescribed by the doctor.
The student studied diligently.,Diligent studying was performed by the student.
The athlete won the race.,The race was won by the athlete.
The team celebrated the victory.,The victory was celebrated by the team.
The fans cheered loudly.,Loud cheering was given by the fans.
The crowd roared with excitement.,Excitement roared from the crowd.
The players performed exceptionally.,Exceptional performances were given by the players.
The coach analyzed the game.,The game was analyzed by the coach.
The referee made a call.,A call was made by the referee.
The audience applauded enthusiastically.,Enthusiastic applause was given by the audience.
The critic reviewed the performance.,The performance was reviewed by the critic.
The reporter covered the event.,The event was covered by the reporter.
The photographer captured the moment.,The moment was captured by the photographer.
The editor published the article.,The article was published by the editor.
The author finished the novel.,The novel was finished by the author.
The scientist discovered a new species.,A new species was discovered by the scientist.
The explorer mapped the territory.,The territory was mapped by the explorer.
The astronomer observed a supernova.,A supernova was observed by the astronomer.
The geologist studied the rock formations.,The rock formations were studied by the geologist.
The biologist analyzed the DNA.,The DNA was analyzed by the biologist.
The physicist conducted an experiment.,An experiment was conducted by the physicist.
The chemist mixed the chemicals.,The chemicals were mixed by the chemist.
The engineer designed a new engine.,A new engine was designed by the engineer.
The architect drafted blueprints.,Blueprints were drafted by the architect.
The construction worker built the building.,The building was built by the construction worker.
The mechanic inspected the car.,The car was inspected by the mechanic.
The electrician installed the wiring.,The wiring was installed by the electrician.
The plumber repaired the pipes.,The pipes were repaired by the plumber.
The carpenter finished the furniture.,The furniture was finished by the carpenter.
The painter mixed the colors.,The colors were mixed by the painter.
The gardener pruned the bushes.,The bushes were pruned by the gardener.
The landscaper designed the garden.,The garden was designed by the landscaper.
The farmer harvested the crops.,The crops were harvested by the farmer.
The chef prepared a feast.,A feast was prepared by the chef.
The baker decorated the cake.,The cake was decorated by the baker.
The musician composed a song.,A song was composed by the musician.
The singer performed a concert.,A concert was performed by the singer.
The dancer practiced diligently.,Diligent practice was done by the dancer.
The actor memorized the lines.,The lines were memorized by the actor.
The director filmed the movie.,The movie was filmed by the director.
The writer edited the manuscript.,The manuscript was edited by the writer.
The artist created a sculpture.,A sculpture was created by the artist.
The poet wrote a poem.,A poem was written by the poet.
The composer orchestrated the piece.,The piece was orchestrated by the composer.
The sculptor carved the statue.,The statue was carved by the sculptor.
The painter applied the paint.,The paint was applied by the painter.
The photographer took the pictures.,The pictures were taken by the photographer.
The journalist wrote the article.,The article was written by the journalist.
The editor reviewed the manuscript.,The manuscript was reviewed by the editor.
The publisher printed the book.,The book was printed by the publisher.
The librarian organized the books.,The books were organized by the librarian.
The teacher assigned the homework.,The homework was assigned by the teacher.
The student answered the questions.,The questions were answered by the student.
The professor lectured the class.,The class was lectured to by the professor.
The doctor examined the patient.,The patient was examined by the doctor.
The nurse administered the medication.,The medication was administered by the nurse.
The therapist counseled the patient.,The patient was counseled by the therapist.
The lawyer presented the evidence.,The evidence was presented by the lawyer.
The judge issued the ruling.,The ruling was issued by the judge.
The jury reached a verdict.,A verdict was reached by the jury.
The witness testified under oath.,Testimony was given under oath by the witness.
The police officer investigated the accident.,The accident was investigated by the police officer.
The firefighter rescued the family.,The family was rescued by the firefighter.
The paramedic treated the injured.,The injured were treated by the paramedic.
The rescuer saved the victim.,The victim was saved by the rescuer.
The pilot landed the plane.,The plane was landed by the pilot.
The mechanic fixed the engine.,The engine was fixed by the mechanic.
The electrician repaired the lights.,The lights were repaired by the electrician.
The plumber unclogged the drain.,The drain was unclogged by the plumber.
The carpenter repaired the door.,The door was repaired by the carpenter.
The painter painted the house.,The house was painted by the painter.
The gardener watered the plants.,The plants were watered by the gardener.
The landscaper mowed the lawn.,The lawn was mowed by the landscaper.
The farmer plowed the field.,The field was plowed by the farmer.
The chef cooked the dinner.,The dinner was cooked by the chef.
The baker made the bread.,The bread was made by the baker.
The musician played the music.,The music was played by the musician.
The singer sang the song.,The song was sung by the singer.
The dancer performed the dance.,The dance was performed by the dancer.
The actor acted the role.,The role was acted by the actor.
The director produced the film.,The film was produced by the director.
The writer completed the novel.,The novel was completed by the writer.
The artist drew a landscape.,A landscape was drawn by the artist.
The musician composed a melody.,A melody was composed by the musician.
The athlete broke the record.,The record was broken by the athlete.
The team won the championship.,The championship was won by the team.
The coach trained the athletes.,The athletes were trained by the coach.
The referee called a foul.,A foul was called by the referee.
The crowd cheered enthusiastically.,Enthusiastic cheering was heard from the crowd.
The announcer made the announcement.,The announcement was made by the announcer.
The commentator described the game.,The game was described by the commentator.
The fan supported their team.,Their team was supported by the fan.
The scientist published the findings.,The findings were published by the scientist.
The inventor patented the invention.,The invention was patented by the inventor.
The engineer built a prototype.,A prototype was built by the engineer.
The programmer wrote the code.,The code was written by the programmer.
The technician repaired the equipment.,The equipment was repaired by the technician.
The mechanic serviced the vehicle.,The vehicle was serviced by the mechanic.
The electrician installed the electrical system.,The electrical system was installed by the electrician.
The plumber fixed the plumbing.,The plumbing was fixed by the plumber.
The carpenter constructed the cabinets.,The cabinets were constructed by the carpenter.
The painter decorated the room.,The room was decorated by the painter.
The gardener planted the trees.,The trees were planted by the gardener.
The landscaper maintained the grounds.,The grounds were maintained by the landscaper.
The farmer harvested the wheat.,The wheat was harvested by the farmer.
The baker baked fresh bread.,Fresh bread was baked by the baker.
The chef prepared a gourmet meal.,A gourmet meal was prepared by the chef.
The waiter served the customers.,The customers were served by the waiter.
The cashier processed the transaction.,The transaction was processed by the cashier.
The customer purchased the items.,The items were purchased by the customer.
The clerk organized the files.,The files were organized by the clerk.
The secretary typed the letter.,The letter was typed by the secretary.
The teacher graded the tests.,The tests were graded by the teacher.
The student completed the assignment.,The assignment was completed by the student.
The professor delivered the lecture.,The lecture was delivered by the professor.
The doctor performed surgery.,Surgery was performed by the doctor.
The nurse cared for the patients.,The patients were cared for by the nurse.
The therapist treated the patient.,The patient was treated by the therapist.
The lawyer argued the case.,The case was argued by the lawyer.
The judge presided over the trial.,The trial was presided over by the judge.
The jury considered the evidence.,The evidence was considered by the jury.
The witness provided testimony.,Testimony was provided by the witness.
The detective solved the crime.,The crime was solved by the detective.
The police officer arrested the suspect.,The suspect was arrested by the police officer.
The firefighter extinguished the blaze.,The blaze was extinguished by the firefighter.
The paramedic provided first aid.,First aid was provided by the paramedic.
The rescuer saved the lives.,The lives were saved by the rescuer.
The pilot navigated the plane.,The plane was navigated by the pilot.
The sailor sailed the ship.,The ship was sailed by the sailor.
The captain commanded the crew.,The crew was commanded by the captain.
The passenger boarded the train.,The train was boarded by the passenger.
The conductor announced the stop.,The stop was announced by the conductor.
The driver drove the car.,The car was driven by the driver.
The passenger rode the bus.,The bus was ridden by the passenger.
The cyclist rode the bicycle.,The bicycle was ridden by the cyclist.
The runner ran the race.,The race was run by the runner.
The swimmer swam the lap.,The lap was swum by the swimmer.
The diver dove into the water.,The water was dived into by the diver.
The climber scaled the mountain.,The mountain was scaled by the climber.
The hiker walked the trail.,The trail was walked by the hiker.
The camper pitched the tent.,The tent was pitched by the camper.
The tourist visited the sights.,The sights were visited by the tourist.
The explorer discovered the ruins.,The ruins were discovered by the explorer.
The archeologist excavated the artifacts.,The artifacts were excavated by the archeologist.
The historian studied the documents.,The documents were studied by the historian.
The writer finished the book.,The book was finished by the writer.
The editor proofread the manuscript.,The manuscript was proofread by the editor.
The publisher released the book.,The book was released by the publisher.
The bookstore sold the book.,The book was sold by the bookstore.
The reader read the book.,The book was read by the reader.
The teacher explained the concept.,The concept was explained by the teacher.
The student understood the lesson.,The lesson was understood by the student.
The artist painted a masterpiece.,A masterpiece was painted by the artist.
The musician played a beautiful song.,A beautiful song was played by the musician.
The athlete won the competition.,The competition was won by the athlete.
The team celebrated their victory.,Their victory was celebrated by the team.
The chef created a delicious dish.,A delicious dish was created by the chef.
The baker baked a sweet treat.,A sweet treat was baked by the baker.
The writer wrote a compelling novel.,A compelling novel was written by the writer.
The reader enjoyed the story.,The story was enjoyed by the reader.
The programmer wrote efficient code.,Efficient code was written by the programmer.
The engineer designed a complex system.,A complex system was designed by the engineer.
The scientist conducted extensive research.,Extensive research was conducted by the scientist.
The doctor diagnosed the illness.,The illness was diagnosed by the doctor.
The nurse provided excellent care.,Excellent care was provided by the nurse.
The therapist helped the client.,The client was helped by the therapist.
The lawyer presented a strong case.,A strong case was presented by the lawyer.
The judge delivered the verdict.,The verdict was delivered by the judge.
The jury deliberated carefully.,Careful deliberation was done by the jury.
The witness gave truthful testimony.,Truthful testimony was given by the witness.
The police officer investigated the crime scene.,The crime scene was investigated by the police officer.
The firefighter rescued the family from the fire.,The family was rescued from the fire by the firefighter.
The paramedic stabilized the patient.,The patient was stabilized by the paramedic.
The rescuer saved the stranded hiker.,The stranded hiker was saved by the rescuer.
The pilot landed the airplane safely.,The airplane was landed safely by the pilot.
The mechanic fixed the broken engine.,The broken engine was fixed by the mechanic.
The electrician repaired the faulty wiring.,The faulty wiring was repaired by the electrician.
The plumber replaced the damaged pipes.,The damaged pipes were replaced by the plumber.
The carpenter built a sturdy fence.,A sturdy fence was built by the carpenter.
The painter painted the house a vibrant color.,The house was painted a vibrant color by the painter.
The gardener planted colorful flowers.,Colorful flowers were planted by the gardener.
The landscaper designed a beautiful garden.,A beautiful garden was designed by the landscaper.
The farmer harvested a bountiful crop.,A bountiful crop was harvested by the farmer.
The baker prepared a delicious cake.,A delicious cake was prepared by the baker.
The chef cooked a sumptuous meal.,A sumptuous meal was cooked by the chef.
The server brought the food to the table.,The food was brought to the table by the server.
The customer paid the bill.,The bill was paid by the customer.
The cashier counted the money.,The money was counted by the cashier.
The clerk processed the return.,The return was processed by the clerk.
The secretary scheduled the meeting.,The meeting was scheduled by the secretary.
The boss approved the proposal.,The proposal was approved by the boss.
The employee completed the project.,The project was completed by the employee.
The manager reviewed the report.,The report was reviewed by the manager.
The consultant provided recommendations.,Recommendations were provided by the consultant.
The client accepted the proposal.,The proposal was accepted by the client.
The company launched a new product.,A new product was launched by the company.
The team developed a new strategy.,A new strategy was developed by the team.
The investor funded the startup.,The startup was funded by the investor.
The entrepreneur launched a business.,A business was launched by the entrepreneur.
The marketer created a campaign.,A campaign was created by the marketer.
The salesperson made a sale.,A sale was made by the salesperson.
The customer received excellent service.,Excellent service was received by the customer.
The company offered a discount.,A discount was offered by the company.
The store held a sale.,A sale was held by the store.
The shopper bought a new dress.,A new dress was bought by the shopper.
The tailor altered the garment.,The garment was altered by the tailor.
The designer created a fashion collection.,A fashion collection was created by the designer.
The model showcased the clothing.,The clothing was showcased by the model.
The photographer captured stunning images.,Stunning images were captured by the photographer.
The editor reviewed the photos.,The photos were reviewed by the editor.
The magazine published the photos.,The photos were published by the magazine.
The reader admired the photographs.,The photographs were admired by the reader.
The artist framed the picture.,The picture was framed by the artist.
The curator hung the painting.,The painting was hung by the curator.
The museum displayed the artwork.,The artwork was displayed by the museum.
The visitor viewed the exhibition.,The exhibition was viewed by the visitor.
The critic reviewed the art.,The art was reviewed by the critic.
The collector purchased the painting.,The painting was purchased by the collector.
The musician performed a concerto.,A concerto was performed by the musician.
The conductor led the orchestra.,The orchestra was led by the conductor.
The audience applauded enthusiastically.,Enthusiastic applause was given by the audience.
The critic reviewed the performance.,The performance was reviewed by the critic.
The composer wrote a symphony.,A symphony was written by the composer.
The singer recorded a new album.,A new album was recorded by the singer.
The songwriter penned a hit song.,A hit song was penned by the songwriter.
The producer mixed the tracks.,The tracks were mixed by the producer.
The engineer mastered the audio.,The audio was mastered by the engineer.
The technician repaired the sound equipment.,The sound equipment was repaired by the technician.
The band played a sold-out show.,A sold-out show was played by the band.
The roadie set up the stage.,The stage was set up by the roadie.
The promoter organized the concert.,The concert was organized by the promoter.
The ticket seller sold tickets.,Tickets were sold by the ticket seller.
The fan bought a ticket.,A ticket was bought by the fan.
The security guard checked tickets.,Tickets were checked by the security guard.
The usher guided the audience to their seats.,The audience were guided to their seats by the usher.
The bartender served drinks.,Drinks were served by the bartender.
The waiter took the order.,The order was taken by the waiter.
The chef prepared the food.,The food was prepared by the chef.
The customer enjoyed the meal.,The meal was enjoyed by the customer.
The restaurant served delicious food.,Delicious food was served by the restaurant.
The owner managed the establishment.,The establishment was managed by the owner.
The cook baked a cake.,A cake was baked by the cook.
The baker decorated the pastries.,The pastries were decorated by the baker.
The server brought the coffee.,The coffee was brought by the server.
The customer left a tip.,A tip was left by the customer.
The cashier processed the payment.,The payment was processed by the cashier.
The manager oversaw the operation.,The operation was overseen by the manager.
The employee worked diligently.,Diligent work was performed by the employee.
The team completed the project on time.,The project was completed on time by the team.
The consultant provided valuable advice.,Valuable advice was provided by the consultant.
The client implemented the recommendations.,The recommendations were implemented by the client.
The company achieved record profits.,Record profits were achieved by the company.
The investor made a substantial return.,A substantial return was made by the investor.
The entrepreneur built a successful business.,A successful business was built by the entrepreneur.
The marketer launched a successful campaign.,A successful campaign was launched by the marketer.
The salesperson closed the deal.,The deal was closed by the salesperson.
The customer purchased the product.,The product was purchased by the customer.
The retailer stocked the shelves.,The shelves were stocked by the retailer.
The wholesaler supplied the goods.,The goods were supplied by the wholesaler.
The manufacturer produced the product.,The product was produced by the manufacturer.
The designer created a new collection.,A new collection was created by the designer.
The tailor sewed the garment.,The garment was sewed by the tailor.
The model wore the clothes.,The clothes were worn by the model.
The photographer took professional photos.,Professional photos were taken by the photographer.
The editor edited the images.,The images were edited by the editor.
The publisher printed the magazine.,The magazine was printed by the publisher.
The distributor shipped the magazines.,The magazines were shipped by the distributor.
The retailer received the shipment.,The shipment was received by the retailer.
The customer bought the magazine.,The magazine was bought by the customer.
The reader enjoyed the article.,The article was enjoyed by the reader.
The writer submitted the manuscript.,The manuscript was submitted by the writer.
The editor reviewed the submission.,The submission was reviewed by the editor.
The publisher accepted the manuscript.,The manuscript was accepted by the publisher.
The printer printed the book.,The book was printed by the printer.
The binder bound the book.,The book was bound by the binder.
The distributor shipped the books.,The books were shipped by the distributor.
The bookstore received the delivery.,The delivery was received by the bookstore.
The customer purchased a book.,A book was purchased by the customer.
The librarian shelved the books.,The books were shelved by the librarian.
The student borrowed a book.,A book was borrowed by the student.
The teacher assigned reading.,Reading was assigned by the teacher.
The student completed the assignment.,The assignment was completed by the student.
The professor lectured on history.,A history lecture was given by the professor.
The student took notes diligently.,Diligent notes were taken by the student.
The researcher conducted an experiment.,An experiment was conducted by the researcher.
The scientist analyzed the data.,The data was analyzed by the scientist.
The engineer designed a new bridge.,A new bridge was designed by the engineer.
The architect drew blueprints.,Blueprints were drawn by the architect.
The construction worker built a house.,A house was built by the construction worker.
The painter painted a mural.,A mural was painted by the painter.
The sculptor carved a statue.,A statue was carved by the sculptor.
The musician composed a symphony.,A symphony was composed by the musician.
The singer sang a beautiful aria.,A beautiful aria was sung by the singer.
The dancer performed a graceful ballet.,A graceful ballet was performed by the dancer.
The actor delivered a powerful performance.,A powerful performance was delivered by the actor.
The director filmed a movie.,A movie was filmed by the director.
The writer wrote a captivating story.,A captivating story was written by the writer.
The editor revised the manuscript.,The manuscript was revised by the editor.
The publisher printed the novel.,The novel was printed by the publisher.
The bookstore displayed the new books.,The new books were displayed by the bookstore.
The customer purchased a bestseller.,A bestseller was purchased by the customer.
The reader enjoyed the novel.,The novel was enjoyed by the reader.
The critic reviewed the book.,The book was reviewed by the critic.
The author received awards.,Awards were received by the author.
The illustrator drew the pictures.,The pictures were drawn by the illustrator.
The typesetter set the type.,The type was set by the typesetter.
The printer printed the pages.,The pages were printed by the printer.
The binder bound the book.,The book was bound by the binder.
The shipper packaged the books.,The books were packaged by the shipper.
The delivery driver delivered the books.,The books were delivered by the delivery driver.
The receiver signed for the package.,The package was signed for by the receiver.
The recipient opened the package.,The package was opened by the recipient.
The reader started the book.,The book was started by the reader.
The student studied hard.,Hard studying was done by the student.
The teacher gave a quiz.,A quiz was given by the teacher.
The student answered the questions.,The questions were answered by the student.
The professor graded the exams.,The exams were graded by the professor.
The doctor examined the patient thoroughly.,A thorough examination was given to the patient by the doctor.
The nurse administered the medicine.,The medicine was administered by the nurse.
The therapist offered support.,Support was offered by the therapist.
The lawyer prepared the case.,The case was prepared by the lawyer.
The judge heard the testimony.,The testimony was heard by the judge.
The jury reached a unanimous verdict.,A unanimous verdict was reached by the jury.
The witness gave credible evidence.,Credible evidence was given by the witness.
The police investigated the incident.,The incident was investigated by the police.
The detective solved the mystery.,The mystery was solved by the detective.
The firefighter put out the fire.,The fire was put out by the firefighter.
The paramedic treated the injured.,The injured were treated by the paramedic.
The rescuer saved the victims.,The victims were saved by the rescuer.
The pilot flew the plane.,The plane was flown by the pilot.
The mechanic repaired the car.,The car was repaired by the mechanic.
The electrician fixed the wiring.,The wiring was fixed by the electrician.
The plumber replaced the pipes.,The pipes were replaced by the plumber.
The carpenter built the deck.,The deck was built by the carpenter.
The painter painted the house.,The house was painted by the painter.
The gardener tended the garden.,The garden was tended by the gardener.
The landscaper mowed the lawn.,The lawn was mowed by the landscaper.
The farmer harvested the corn.,The corn was harvested by the farmer.
The baker baked cookies.,Cookies were baked by the baker.
The chef prepared a salad.,A salad was prepared by the chef.
The waiter served the drinks.,The drinks were served by the waiter.
The customer left a generous tip.,A generous tip was left by the customer.
The cashier counted the money accurately.,The money was counted accurately by the cashier.
The manager approved the request.,The request was approved by the manager.
The employee completed the task.,The task was completed by the employee.
The team celebrated their success.,Their success was celebrated by the team.
The company launched a new product line.,A new product line was launched by the company.
The investor made a wise investment.,A wise investment was made by the investor.
The entrepreneur started a business.,A business was started by the entrepreneur.
The marketer developed a campaign.,A campaign was developed by the marketer.
The salesperson closed a big deal.,A big deal was closed by the salesperson.
The customer received excellent service.,Excellent service was received by the customer.
The manager reviewed the performance.,The performance was reviewed by the manager.
The consultant provided recommendations.,Recommendations were provided by the consultant.
The client implemented changes.,Changes were implemented by the client.
The organization achieved its goals.,Its goals were achieved by the organization.
The community supported the project.,The project was supported by the community.
The volunteers helped the cause.,The cause was helped by the volunteers.
The charity raised funds successfully.,Funds were successfully raised by the charity.
The donor made a donation.,A donation was made by the donor.
The recipient received the gift.,The gift was received by the recipient.
The family expressed gratitude.,Gratitude was expressed by the family.
The friends celebrated together.,A celebration was had together by the friends.
The neighbors helped each other.,Help was given to each other by the neighbors.
The community organized an event.,An event was organized by the community.
The participants enjoyed the activities.,The activities were enjoyed by the participants.
The organizers planned the event meticulously.,Meticulous planning of the event was done by the organizers.
The volunteers contributed their time.,Their time was contributed by the volunteers.
The sponsors provided funding.,Funding was provided by the sponsors.
The attendees appreciated the efforts.,The efforts were appreciated by the attendees.
The speakers presented their ideas.,Their ideas were presented by the speakers.
The audience asked questions.,Questions were asked by the audience.
The moderator facilitated the discussion.,The discussion was facilitated by the moderator.
The panelists shared their expertise.,Their expertise was shared by the panelists.
The participants engaged in lively debate.,Lively debate was engaged in by the participants.
The organizers summarized the key points.,The key points were summarized by the organizers.
The attendees left feeling informed.,The attendees left with a feeling of being informed.
The organizers planned the next meeting.,The next meeting was planned by the organizers.
The participants registered for the event.,The event had participants register for it.
The speakers prepared their presentations.,Their presentations were prepared by the speakers.
The audience anticipated the event.,The event was anticipated by the audience.
The venue provided ample space.,Ample space was provided by the venue.
The staff ensured a smooth event.,A smooth event was ensured by the staff.
The attendees provided feedback.,Feedback was provided by the attendees.
The organizers reviewed the feedback.,The feedback was reviewed by the organizers.
The team improved the event.,The event was improved by the team.
The attendees expressed satisfaction.,Satisfaction was expressed by the attendees.
The sponsors renewed their support.,Their support was renewed by the sponsors.
The community welcomed the event.,The event was welcomed by the community.
The participants learned valuable skills.,Valuable skills were learned by the participants.
The organizers received positive comments.,Positive comments were received by the organizers.
The venue accommodated everyone comfortably.,Comfortable accommodation was provided by the venue for everyone.
The staff managed the logistics effectively.,The logistics were managed effectively by the staff.
The speakers delivered engaging presentations.,Engaging presentations were delivered by the speakers.
The audience participated actively.,Active participation was shown by the audience.
The moderator controlled the flow of discussion.,The flow of discussion was controlled by the moderator.
The panelists responded to questions thoughtfully.,Thoughtful responses to questions were given by the panelists.
The participants benefited from the networking.,Networking benefited the participants.
The organizers thanked the volunteers.,The volunteers were thanked by the organizers.
The sponsors committed to future support.,Future support was committed to by the sponsors.
The attendees expressed appreciation.,Appreciation was expressed by the attendees.
The community celebrated the success.,The success was celebrated by the community.
The organizers reflected on the positive outcomes.,Positive outcomes were reflected on by the organizers.
The participants shared their experiences.,Their experiences were shared by the participants.
The speakers received positive feedback.,Positive feedback was received by the speakers.
The artist meticulously crafted the sculpture.,The sculpture was meticulously crafted by the artist.
The musician passionately played the violin.,The violin was passionately played by the musician.
The dancer gracefully executed the pirouette.,The pirouette was gracefully executed by the dancer.
